last_name, first_name,year,xba,exit_velocity_avg,z_swing_miss_percent,oz_swing_miss_percent,fastball_avg_break,breaking_avg_break,offspeed_avg_break
Perdomo, Luis,2019,0.264,89.4,11.5,37.4,18,2.5,15.5
Rondon, Hector,2019,0.23,86.8,14.6,41.7,17.6,6.5,17.3
Pena, Felix,2019,0.254,88.7,16.1,54.9,19.8,3.3,17.8
Pineda, Michael,2019,0.258,88.9,16.8,45.1,15,3.3,17.7
Keuchel, Dallas,2019,0.268,88,11.1,34.8,12.2,9.2,14
Bummer, Aaron,2019,0.206,88.8,15.7,46.4,10.7,14.9,12.2
Lucchesi, Joey,2019,0.235,87.2,15.9,45.3,17.2,10.3,3
Soroka, Mike,2019,0.264,87,16,36.1,17,7.8,19.1
Barria, Jaime,2019,0.27,89.3,15.9,37.9,19.1,7.7,15.5
Chirinos, Yonny,2019,0.26,87.5,14.3,43.4,20.6,7.7,11
Soto, Gregory,2019,0.298,90.5,14.8,37,18,5.6,17.5
Cishek, Steve,2019,0.228,84.5,17.7,31.1,16.2,10.8,16.1
Robles, Hansel,2019,0.225,88.2,21.4,43.4,20.9,5.4,15.5
Ottavino, Adam,2019,0.184,85.1,23,49.6,14.9,18.7,16
Jansen, Kenley,2019,0.211,84.6,25.3,45.9,16.6,7.6,16
Law, Derek,2019,0.25,88.5,18.4,53,15.2,8.3,17.9
Diekman, Jake,2019,0.206,87.3,22.8,59.9,17.9,7.1,17.5
Doolittle, Sean,2019,0.236,90.1,18.5,37,20,9.5,21.1
Sanchez, Anibal,2019,0.255,86.5,16.3,33.4,16.1,5.8,15.9
Paddack, Chris,2019,0.217,86.9,19.9,36.2,19.7,14.4,15.4
Hudson, Dakota,2019,0.263,88.7,13.8,47.2,14.4,6,14.1
Odorizzi, Jake,2019,0.234,87.9,23.7,37.8,17.4,14.9,13.2
Lambert, Peter,2019,0.299,88.9,10.8,32,17,11.1,12.2
Chen, Wei-Yin,2019,0.282,88.9,13,41.2,17.2,11.7,13.8
Fedde, Erick,2019,0.307,87.9,10.4,29.4,10.5,13.2,12.1
Tanaka, Masahiro,2019,0.265,88.7,13.4,40.5,18.3,7.9,14
Gallen, Zac,2019,0.215,87,17.7,47.8,16,13.9,13.1
Osich, Josh,2019,0.253,87.8,17.3,50.6,8.7,5.2,18.4
VerHagen, Drew,2019,0.264,89.1,12.9,48.7,15.8,12.8,14.4
Ryan, Kyle,2019,0.241,88.6,18.9,35.4,9.3,10.4,17.1
Foltynewicz, Mike,2019,0.26,87.8,16.2,44.9,18.3,6.8,17.7
Diaz, Edwin,2019,0.207,89.7,31.6,51.1,19,6,16
Pannone, Thomas,2019,0.255,89.1,23.4,29.5,20.1,15.1,18.3
Gibson, Kyle,2019,0.27,87.8,14.2,49.6,17.5,8.1,14.6
Flaherty, Jack,2019,0.217,86.1,22.1,49.6,15,11.1,13.6
Barlow, Scott,2019,0.228,87.9,22.8,51.8,14.4,11.6,15.1
May, Trevor,2019,0.202,87.5,23.5,49.6,16.3,11.5,17.5
Norris, Daniel,2019,0.266,90.2,12.5,47.9,18.3,8.6,12.6
Bauer, Trevor,2019,0.227,88.1,18.3,52,16,20,18.2
Turnbull, Spencer,2019,0.258,89.2,15.7,44.7,13.4,10,17.5
Chacin, Jhoulys,2019,0.273,88.5,14.5,34.6,17.4,13.7,11.7
Rodriguez, Dereck,2019,0.285,88.7,15.2,37.8,14.8,17.4,17.4
Darvish, Yu,2019,0.223,88.2,20.8,50.7,11.8,17.1,9.3
Buchholz, Clay,2019,0.299,86.6,13.7,33.8,14.2,17.8,12.8
Urias, Julio,2019,0.209,83.2,21.6,45.8,17.6,8.3,17.9
McHugh, Collin,2019,0.234,87.8,17.9,48.4,16.1,17.4,16.9
Brewer, Colten,2019,0.257,88.2,15.8,49.4,8.3,17.6,9.7
